S 38f14c,1 miss 
L 38f160,8 miss 
L 38f144,4 hit 
L 38f140,4 hit 

// loop 1
// load from A
L 30f140,4 miss eviction 
L 30f144,4 hit 
L 30f148,4 hit 
L 30f14c,4 hit 
L 30f150,4 hit 
L 30f154,4 hit 
L 30f158,4 hit 
L 30f15c,4 hit 

// save to B
S 34f140,4 miss eviction 
S 34f240,4 miss 
S 34f340,4 miss 
S 34f440,4 miss 
S 34f150,4 hit 
S 34f250,4 hit 
S 34f350,4 hit 
S 34f450,4 hit 

// load from A
L 30f240,4 miss eviction 
L 30f244,4 hit 
L 30f248,4 hit 
L 30f24c,4 hit 
L 30f250,4 hit 
L 30f254,4 hit 
L 30f258,4 hit 
L 30f25c,4 hit 

// save to B
S 34f144,4 hit 
S 34f244,4 miss eviction 
S 34f344,4 hit 
S 34f444,4 hit 
S 34f154,4 hit 
S 34f254,4 hit 
S 34f354,4 hit 
S 34f454,4 hit 

L 30f340,4 miss eviction 
L 30f344,4 hit 
L 30f348,4 hit 
L 30f34c,4 hit 
L 30f350,4 hit 
L 30f354,4 hit 
L 30f358,4 hit 
L 30f35c,4 hit 

S 34f148,4 hit 
S 34f248,4 hit 
S 34f348,4 miss eviction 
S 34f448,4 hit 
S 34f158,4 hit 
S 34f258,4 hit 
S 34f358,4 hit 
S 34f458,4 hit 

L 30f440,4 miss eviction 
L 30f444,4 hit 
L 30f448,4 hit 
L 30f44c,4 hit 
L 30f450,4 hit 
L 30f454,4 hit 
L 30f458,4 hit 
L 30f45c,4 hit 

S 34f14c,4 hit 
S 34f24c,4 hit 
S 34f34c,4 hit 
S 34f44c,4 miss eviction 
S 34f15c,4 hit 
S 34f25c,4 hit 
S 34f35c,4 hit 
S 34f45c,4 hit 


// loop 2-0
L 34f150,4 hit 
L 34f154,4 hit 
L 34f158,4 hit 
L 34f15c,4 hit 

L 30f540,4 miss eviction 
L 30f640,4 miss eviction 
L 30f740,4 miss eviction 
L 30f840,4 miss eviction 

S 34f150,4 miss eviction 
S 34f154,4 hit 
S 34f158,4 hit 
S 34f15c,4 hit 

S 34f540,4 miss eviction 
S 34f544,4 hit 
S 34f548,4 hit 
S 34f54c,4 hit 

// loop2-1
L 34f250,4 miss eviction 
L 34f254,4 hit 
L 34f258,4 hit 
L 34f25c,4 hit 

L 30f544,4 miss eviction 
L 30f644,4 miss eviction 
L 30f744,4 hit 
L 30f844,4 hit 

S 34f250,4 miss eviction 
